Sample,DHT_Temp,Humidity,Therm_Temp
1,24.2,51.6,27.35
2,24.3,51.3,27.62
3,24.1,51.7,26.95
4,24.2,51.5,27.48
5,24.4,51.4,27.71
6,24.2,51.6,27.26
7,24.1,51.2,27.08
8,24.3,51.5,27.54
9,24.2,51.3,27.33
10,24.3,51.4,27.69
11,24.2,51.7,26.89
12,24.2,51.5,27.41
13,24.2,51.3,27.17
14,24.1,51.6,27.63
15,24.3,51.2,27.72
16,24.2,51.5,27.24
17,24.2,51.7,27.64
18,24.4,51.4,27.39
19,24.2,51.6,27.05
20,24.2,51.3,27.76
21,24.3,51.2,27.18
22,24.2,51.5,27.46
23,24.1,51.4,27.01
24,24.2,51.3,27.58
25,24.3,51.6,27.29
